         94324 function calls (93288 primitive calls) in 20.635 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    108/6    0.000    0.000    3.572    0.595 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
      446    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
     2465    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      818    0.000    0.000    0.001    0.000 enum.py:358(__call__)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      424    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      400    0.000    0.000    0.001    0.000 inspect.py:2582(__str__)
        1    0.000    0.000    0.001    0.001 management.py:15(<module>)
      456    0.000    0.000    0.002    0.000 pathlib.py:752(__fspath__)
      107    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
       12    0.000    0.000    0.025    0.002 popen_spawn_win32.py:44(__init__)
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      446    0.000    0.000    0.021    0.000 pathlib.py:540(_select_from)
     1062    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       94    0.000    0.000    0.094    0.001 popen_spawn_win32.py:101(wait)
      788    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        7    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
     59/8    0.000    0.000    0.002    0.000 sre_compile.py:71(_compile)
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
      942    0.000    0.000    0.000    0.000 inspect.py:2830(<genexpr>)
     1536    0.000    0.000    0.000    0.000 _base.py:516(gptooldoc)
      424    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
    105/1    0.000    0.000   20.635   20.635 {built-in method builtins.exec}
      181    0.000    0.000    0.000    0.000 CompoundParameter.py:84(_addProperty)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_pack_uint32)
      460    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      424    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       18    0.000    0.000    0.000    0.000 socket.py:543(send)
       94    0.000    0.000    0.416    0.004 <frozen importlib._bootstrap_external>:908(source_to_code)
      107    0.000    0.000    2.454    0.023 <frozen importlib._bootstrap>:558(module_from_spec)
       48    0.000    0.000    0.001    0.000 connection.py:961(reduce_pipe_connection)
    218/7    0.000    0.000    3.559    0.508 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      449    0.000    0.000    0.019    0.000 pathlib.py:1227(stat)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       71    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       91    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.157    0.079 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method listenvironments}
       94    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1082(_cache_bytecode)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        2    0.000    0.000    0.016    0.008 Functions.py:17(<module>)
        1    0.000    0.000    0.003    0.003 ParameterClasses.py:17(<module>)
       48    0.000    0.000    0.000    0.000 {built-in method _winapi.OpenProcess}
       88    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
        1    0.000    0.000   20.624   20.624 L1a_scripttool.py:12(<module>)
      446    0.000    0.000    0.000    0.000 pathlib.py:46(_ignore_error)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       24    0.000    0.000    0.000    0.000 process.py:344(__reduce__)
        1    0.000    0.000    0.078    0.078 ddd.py:15(<module>)
      905    0.000    0.000    0.000    0.000 pathlib.py:1089(_init)
      535    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       12    0.000    0.000    0.001    0.000 spawn.py:150(get_preparation_data)
       27    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
      818    0.000    0.000    0.000    0.000 enum.py:670(__new__)
       48    0.000    0.000    0.001    0.000 reduction.py:106(__init__)
   111/71    0.000    0.000    0.098    0.001 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      535    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
       72    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       94    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:503(_calc_mode)
     1236    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      210    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:385(cached)
       54    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       44    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
      107    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      374    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.000    0.000 un.py:15(<module>)
      103    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      199    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      135    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
     1200    0.000    0.000    0.000    0.000 inspect.py:2548(name)
        6    0.000    0.000    0.001    0.000 _base.py:168(addMessage)
       12    0.000    0.000    0.000    0.000 process.py:80(__init__)
      248    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
     1200    0.000    0.000    0.000    0.000 inspect.py:2560(kind)
       13    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
       44    0.000    0.000    0.001    0.000 enum.py:164(__prepare__)
      108    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
      107    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
