         94324 function calls (93288 primitive calls) in 20.635 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        1    0.000    0.000    0.000    0.000 maritime.py:15(<module>)
        1    0.000    0.000    0.000    0.000 RasterCollection.py:15(<module>)
       39    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 edit.py:15(<module>)
        3    0.000    0.000    0.000    0.000 connection.py:186(send_bytes)
      142    0.000    0.000    0.000    0.000 inspect.py:2865(parameters)
        1    0.000    0.000    0.000    0.000 geometries.py:15(<module>)
        1    0.000    0.000    0.000    0.000 raster_functions.py:15(<module>)
       21    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        1    0.000    0.000    0.000    0.000 _mp.py:520(Layer)
        1    0.000    0.000    0.000    0.000 server.py:15(<module>)
       18    0.000    0.000    0.000    0.000 iostream.py:93(_event_pipe)
        1    0.000    0.000    0.001    0.001 charts.py:15(<module>)
       72    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
        1    0.000    0.000    0.000    0.000 _s.py:13(TraversedElementType)
       56    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        1    0.000    0.000    0.000    0.000 parcel.py:15(<module>)
        6    0.000    0.000    0.000    0.000 pathlib.py:1079(__new__)
        2    0.000    0.000    2.957    1.478 _base.py:14(<module>)
       16    0.000    0.000    0.000    0.000 iostream.py:310(_is_master_process)
        7    0.000    0.000    0.000    0.000 _base.py:38(gp_fixargs)
        1    0.000    0.000    0.000    0.000 td.py:15(<module>)
      142    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
        4    0.000    0.000    2.450    0.612 <frozen importlib._bootstrap_external>:1171(create_module)
        2    0.000    0.000    0.000    0.000 _base.py:561(overwriteOutput)
        1    0.000    0.000    0.000    0.000 _base.py:66(Geoprocessor)
        1    0.000    0.000    0.000    0.000 synchronize.py:10(<module>)
        3    0.000    0.000    0.001    0.000 context.py:65(Lock)
       12    0.000    0.000    0.000    0.000 spawn.py:132(_check_not_importing_main)
        1    0.000    0.000    0.000    0.000 stpm.py:15(<module>)
       35    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.001    0.001 metadata.py:71(Metadata)
        7    0.000    0.000    0.000    0.000 pathlib.py:702(_from_parts)
        1    0.000    0.000    0.000    0.000 indoors.py:15(<module>)
        1    0.000    0.000    0.000    0.000 agolservices.py:15(<module>)
        5    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 arcobjects.py:888(GeoProcessor)
        1    0.000    0.000    0.002    0.002 _mp.py:3618(MapView)
        8    0.000    0.000    0.002    0.000 sre_compile.py:598(_code)
        8    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.002    0.002 Raster.py:14(<module>)
        8    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 tn.py:15(<module>)
       45    0.000    0.000    0.000    0.000 _base.py:522(<genexpr>)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001903B603A60}
        1    0.000    0.000    0.000    0.000 ca.py:15(<module>)
       12    0.000    0.000    0.000    0.000 subprocess.py:272(_optim_args_from_interpreter_flags)
        3    0.000    0.000    0.002    0.001 context.py:110(SimpleQueue)
       51    0.000    0.000    0.000    0.000 connection.py:139(_check_closed)
        1    0.000    0.000    0.043    0.043 arcobjectconversion.py:28(initialize_conversion_mapping)
        1    0.000    0.000    0.001    0.001 _ndsc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charts.py:36(Chart)
        6    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        4    0.000    0.000    0.000    0.000 typing.py:1846(_make_nmtuple)
       11    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
        1    0.000    0.000    0.001    0.001 _mp.py:2180(Map)
        1    0.000    0.000    0.000    0.000 _base.py:547(GPEnvironment)
       30    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        1    0.000    0.000    0.000    0.000 sfa.py:15(<module>)
        1    0.000    0.000    0.003    0.003 _s.py:1(<module>)
        6    0.000    0.000    0.000    0.000 tempfile.py:149(__next__)
        6    0.000    0.000    0.000    0.000 tempfile.py:152(<listcomp>)
        3    0.000    0.000    0.001    0.000 queues.py:340(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mp.py:15(<module>)
        3    0.000    0.000    0.000    0.000 reduction.py:48(dumps)
        3    0.000    0.000    0.000    0.000 connection.py:69(arbitrary_address)
        1    0.000    0.000    0.000    0.000 lr.py:15(<module>)
        1    0.000    0.000    0.000    0.000 transit.py:15(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
        3    0.000    0.000    0.000    0.000 tempfile.py:379(mktemp)
        1    0.000    0.000    0.000    0.000 arcobjects.py:1251(Geometry)
        1    0.000    0.000   20.627   20.627 py3compat.py:51(execfile)
        1    0.000    0.000    0.038    0.038 context.py:115(Pool)
       35    0.000    0.000    0.000    0.000 _base.py:530(<genexpr>)
       88    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       71    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       28    0.000    0.000    0.000    0.000 util.py:48(debug)
       38    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        4    0.000    0.000    0.000    0.000 threading.py:521(__init__)
        3    0.000    0.000    0.000    0.000 connection.py:284(_send_bytes)
        9    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       11    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 arcobjects.py:245(Extent)
       78    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       44    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:399(__getitem__)
        6    0.000    0.000    0.000    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
        1    0.000    0.000    0.001    0.001 pool.py:668(_help_stuff_finish)
       27    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:131(<listcomp>)
        1    0.000    0.000    0.000    0.000 _s.py:78(DirectionPointType)
        1    0.000    0.000    0.000    0.000 _wmx.py:288(Job)
       21    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        9    0.000    0.000    0.000    0.000 threading.py:1351(current_thread)
       71    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 reviewer.py:15(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:744(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:985(_stop)
        2    0.000    0.000    0.000    0.000 random.py:126(seed)
        3    0.000    0.000    0.000    0.000 queues.py:370(put)
       45    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 _base.py:15(<module>)
       12    0.000    0.000    0.000    0.000 context.py:249(get_start_method)
        1    0.000    0.000    0.000    0.000 _mp.py:1887(LegendElement)
        3    0.000    0.000    0.000    0.000 threading.py:1021(join)
       12    0.000    0.000    0.000    0.000 process.py:193(name)
        1    0.000    0.000    0.001    0.001 _sas.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.SetNamedPipeHandleState}
        1    0.000    0.000    0.005    0.005 pathlib.py:203(resolve)
        4    0.000    0.000    0.000    0.000 typing.py:1848(<dictcomp>)
       78    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       22    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       16    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        8    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       16    0.000    0.000    0.000    0.000 iostream.py:323(_schedule_flush)
        1    0.000    0.000    0.000    0.000 _renderer.py:15(<module>)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2093(Parameter)
        1    0.000    0.000    0.001    0.001 _vrps.py:1(<module>)
        1    0.000    0.000    0.000    0.000 da.py:14(<module>)
        1    0.000    0.000    0.001    0.001 metadata.py:2(<module>)
        1    0.000    0.000    0.000    0.000 Utils.py:15(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
       18    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
        1    0.000    0.000    2.963    2.963 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _mp.py:879(LayerFile)
       30    0.000    0.000    0.000    0.000 threading.py:529(is_set)
        1    0.000    0.000    0.001    0.001 _las.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sharing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arcobjectconversion.py:15(<module>)
        1    0.000    0.000   16.753   16.753 pool.py:366(starmap)
        3    0.000    0.000    0.000    0.000 threading.py:750(_newname)
        1    0.000    0.000    0.000    0.000 charts.py:88(_axis)
        8    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 _mp.py:3379(Table)
        1    0.000    0.000    0.001    0.001 _cfs.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       11    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 _colorizer.py:15(<module>)
        1    0.000    0.000    0.000    0.000 indoorpositioning.py:15(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:713(__setattr__)
        1    0.000    0.000    0.000    0.000 _base.py:564(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:173(Pool)
        1    0.000    0.000    0.000    0.000 context.py:172(set_executable)
        3    0.000    0.000    0.000    0.000 synchronize.py:114(_make_name)
       27    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        8    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 interop.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _mp.py:206(ArcGISProject)
        1    0.000    0.000    0.000    0.000 CompoundParameter.py:15(<module>)
       12    0.000    0.000    0.000    0.000 process.py:205(daemon)
       12    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 _mp.py:23(constants)
        1    0.000    0.000    0.000    0.000 _rs.py:1(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
        1    0.000    0.000    0.000    0.000 L1a_multicode.py:10(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:517(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:793(__init__)
       33    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       18    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pdfdocument.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _odcms.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
       27    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        3    0.000    0.000    0.000    0.000 pathlib.py:736(_make_child)
       66    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       13    0.000    0.000    0.000    0.000 types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 typing.py:739(__init__)
        3    0.000    0.000    0.000    0.000 tempfile.py:76(_exists)
       12    0.000    0.000    0.000    0.000 process.py:213(authkey)
        1    0.000    0.000    0.526    0.526 _base.py:68(__init__)
        1    0.000    0.000    0.096    0.096 pool.py:651(terminate)
        1    0.000    0.000    0.000    0.000 da.py:17(<listcomp>)
        1    0.000    0.000    0.000    0.000 typing.py:434(Union)
        6    0.000    0.000    0.000    0.000 connection.py:122(__init__)
        7    0.000    0.000    0.000    0.000 _base.py:530(<listcomp>)
        1    0.000    0.000    0.000    0.000 _symbology.py:41(Symbology)
        1    0.000    0.000    0.000    0.000 _wmx.py:269(ExtendedPropertyValue)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        4    0.000    0.000    0.000    0.000 threading.py:268(_acquire_restore)
      3/1    0.000    0.000    0.000    0.000 pathlib.py:486(_make_selector)
        1    0.000    0.000    0.000    0.000 _mp.py:467(GraphicElement)
        1    0.000    0.000    0.000    0.000 RasterCollection.py:47(RasterCollection)
        1    0.000    0.000    0.000    0.000 arcobjects.py:452(Field)
        1    0.000    0.000    0.001    0.001 __init__.py:16(<module>)
        1    0.000    0.000    0.001    0.001 Mensuration.py:15(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:227(_split_extended_path)
       15    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
       66    0.000    0.000    0.000    0.000 _base.py:570(<genexpr>)
        1    0.000    0.000    0.000    0.000 _mp.py:4348(MapSeries)
        1    0.000    0.000    0.000    0.000 _mp.py:3300(MapTime)
       14    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       24    0.000    0.000    0.000    0.000 process.py:189(name)
        1    0.000    0.000    0.000    0.000 Raster.py:65(Raster)
        9    0.000    0.000    0.004    0.000 re.py:250(compile)
        4    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
        6    0.000    0.000    0.000    0.000 connection.py:135(__del__)
        1    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2559(Schema)
        1    0.000    0.000    0.000    0.000 mixins.py:616(MapDocumentMixin)
        1    0.000    0.000    0.000    0.000 syspathcontext.py:64(__exit__)
       27    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.005    0.005 pathlib.py:1209(resolve)
        1    0.000    0.000    0.000    0.000 _mp.py:1140(LayerTime)
        1    0.000    0.000    0.000    0.000 RasterToXarray.py:15(<module>)
        3    0.000    0.000    0.000    0.000 threading.py:1155(daemon)
        2    0.000    0.000    0.000    0.000 pathlib.py:986(parent)
       27    0.000    0.000    0.000    0.000 process.py:37(current_process)
        1    0.000    0.000    0.000    0.000 _nds.py:1(<module>)
       22    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 _base.py:536(GPEnvironments)
       48    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:449(__getattr__)
       13    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
        1    0.000    0.000    0.000    0.000 _renderer.py:101(Graduated_symbols_renderer)
        1    0.000    0.000    0.000    0.000 PixelBlockCollection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charts.py:673(Line)
       16    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        2    0.000    0.000    0.000    0.000 pathlib.py:198(<listcomp>)
        1    0.000    0.000    0.000    0.000 connection.py:119(_ConnectionBase)
        1    0.000    0.000    0.000    0.000 Mensuration.py:19(Mensuration)
        3    0.000    0.000    0.000    0.000 threading.py:1222(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 charts.py:499(Bar)
        2    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
        1    0.000    0.000    0.000    0.000 _mp.py:3574(TextElement)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
        2    0.000    0.000    0.000    0.000 pathlib.py:516(select_from)
        1    0.000    0.000    0.000    0.000 syspathcontext.py:57(__enter__)
        4    0.000    0.000    0.000    0.000 process.py:234(ident)
        1    0.000    0.000    0.000    0.000 _mp.py:3365(PictureElement)
        1    0.000    0.000    0.000    0.000 _vrps.py:26(VehicleRoutingProblemInputDataType2)
        3    0.000    0.000    0.000    0.000 __init__.py:392(__getattr__)
       12    0.000    0.000    0.000    0.000 spawn.py:45(get_executable)
        1    0.000    0.000    0.000    0.000 pdfdocument.py:34(PDFDocument)
        1    0.000    0.000    0.000    0.000 charts.py:869(Scatter)
        1    0.000    0.000    0.000    0.000 _geocoding.py:14(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:35(Queue)
        8    0.000    0.000    0.000    0.000 _base.py:123(pass_parameterized_attr)
        1    0.000    0.000    0.000    0.000 util.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _symbology.py:169(Symbol)
        1    0.000    0.000    0.000    0.000 _renderer.py:77(Graduated_colors_renderer)
        1    0.000    0.000    0.002    0.002 pool.py:342(_setup_queues)
        1    0.000    0.000    0.000    0.000 _mp.py:1976(LegendItem)
        1    0.000    0.000   16.753   16.753 pool.py:764(get)
        2    0.000    0.000    0.000    0.000 pathlib.py:775(_cparts)
        1    0.000    0.000    0.000    0.000 _mp.py:3289(MapSurroundElement)
        1    0.000    0.000    0.000    0.000 _vrps.py:12(VehicleRoutingProblemInputDataType)
        1    0.000    0.000    0.000    0.000 _utbx.py:1(<module>)
      3/1    0.000    0.000    0.000    0.000 pathlib.py:507(__init__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:80(translate)
        1    0.000    0.000    0.000    0.000 _renderer.py:27(UniqueValueRenderer)
        1    0.000    0.000    0.000    0.000 _ga.py:276(CrossValidationResult)
        1    0.000    0.000    0.000    0.000 PixelBlockCollection.py:6(PixelBlock)
        1    0.000    0.000    0.000    0.000 Mensuration.py:39(PointMeasurement)
        1    0.000    0.000    0.000    0.000 enum.py:971(__or__)
        3    0.000    0.000    0.000    0.000 tempfile.py:229(_get_candidate_names)
        1    0.000    0.000    0.000    0.000 arcobjects.py:658(FieldMap)
        1    0.000    0.000    0.000    0.000 _mp.py:430(Camera)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2397(Result)
        1    0.000    0.000    0.000    0.000 _colorizer.py:56(RasterStretchColorizer)
        1    0.000    0.000    0.000    0.000 charts.py:790(Histogram)
        1    0.000    0.000    0.000    0.000 charts.py:1169(CalendarHeat)
        4    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
        4    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        1    0.000    0.000    0.000    0.000 pathlib.py:200(compile_pattern)
        6    0.000    0.000    0.000    0.000 threading.py:1140(daemon)
        1    0.000    0.000    0.000    0.000 _renderer.py:140(Unclassed_colors_renderer)
        1    0.000    0.000    0.000    0.000 arcobjects.py:784(FieldMappings)
        3    0.000    0.000    0.000    0.000 synchronize.py:161(__init__)
        1    0.000    0.000    0.000    0.000 charts.py:594(Box)
        1    0.000    0.000    0.000    0.000 _nds.py:10(NetworkDataset)
        1    0.000    0.000    0.000    0.000 {built-in method nt.cpu_count}
        4    0.000    0.000    0.000    0.000 typing.py:1927(_namedtuple_mro_entries)
        1    0.000    0.000    0.000    0.000 builtin_trap.py:46(__exit__)
        1    0.000    0.000    0.000    0.000 arcobjects.py:469(FieldInfo)
        1    0.000    0.000    0.000    0.000 _colorizer.py:27(RasterClassifyColorizer)
        1    0.000    0.000    0.000    0.000 _base.py:14(_NamedAttrObject)
        1    0.000    0.000    0.000    0.000 _wmx.py:251(ExtendedProperty)
        4    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
        1    0.000    0.000    0.000    0.000 typing.py:271(inner)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2204(Point)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
        1    0.000    0.000    0.000    0.000 _s.py:134(SourceFeatureNameField)
        1    0.000    0.000    0.000    0.000 typing.py:232(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 charts.py:245(_line)
        7    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 typing_extensions.py:121(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 context.py:41(cpu_count)
        1    0.000    0.000    0.000    0.000 arcobjects.py:76(Array)
        1    0.000    0.000    0.000    0.000 _wmx.py:651(Hold)
        1    0.000    0.000    0.000    0.000 charts.py:1017(ScatterMatrix)
        1    0.000    0.000    0.000    0.000 _mp.py:513(LabelClass)
        1    0.000    0.000    0.000    0.000 _rs.py:20(RouteOutputDataType)
        1    0.000    0.000    0.000    0.000 _odcms.py:11(OriginDestinationCostMatrixInputDataType)
        1    0.000    0.000    0.000    0.000 charts.py:1097(DataClock)
        1    0.000    0.000    0.000    0.000 charts.py:1254(MatrixHeat)
        1    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
       10    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1246(open)
        1    0.000    0.000    0.000    0.000 mixins.py:199(GeometrySpecializationMixin)
        1    0.000    0.000    0.000    0.000 _solvers.py:17(MessageSeverity)
        1    0.000    0.000    0.000    0.000 _solvers.py:49(DistanceUnits)
        1    0.000    0.000    0.000    0.000 _s.py:126(SourceFeatureNameType)
       13    0.000    0.000    0.000    0.000 enum.py:792(value)
        7    0.000    0.000    0.000    0.000 typing.py:665(_is_dunder)
        1    0.000    0.000   16.753   16.753 pool.py:761(wait)
        1    0.000    0.000    0.000    0.000 _sas.py:11(ServiceAreaInputDataType)
        1    0.000    0.000    0.000    0.000 _las.py:29(LocationAllocationProblemType)
        1    0.000    0.000    0.127    0.127 __init__.py:1251(Describe)
        1    0.000    0.000    0.000    0.000 arcobjects.py:2780(ValueTable)
        1    0.000    0.000    0.000    0.000 synchronize.py:360(Barrier)
        1    0.000    0.000    0.000    0.000 CompoundParameter.py:39(_CompoundParameter)
        1    0.000    0.000    0.000    0.000 _las.py:11(LocationAllocationInputDataType)
        1    0.000    0.000    0.000    0.000 _vrps.py:52(VehicleRoutingProblemOutputDataType2)
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        4    0.000    0.000    0.000    0.000 typing.py:466(<genexpr>)
        1    0.000    0.000    0.000    0.000 _colorizer.py:42(RasterUniqueValueColorizer)
        1    0.000    0.000    0.000    0.000 _cfs.py:27(ClosestFacilityOutputDataType)
        1    0.000    0.000    0.000    0.000 EnvManager.py:15(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:552(__init__)
        1    0.000    0.000    0.000    0.000 arcobjects.py:22(ArcSDESQLExecute)
        1    0.000    0.000    0.000    0.000 metadata.py:8(_metadata_constants)
        1    0.000    0.000    0.096    0.096 pool.py:735(__exit__)
        6    0.000    0.000    0.000    0.000 connection.py:281(_close)
        1    0.000    0.000    0.000    0.000 connection.py:353(Connection)
        3    0.000    0.000    0.000    0.000 synchronize.py:90(_make_methods)
        1    0.000    0.000    0.000    0.000 _rs.py:11(RouteInputDataType)
        1    0.000    0.000    0.000    0.000 _s.py:67(ReferenceLandmarkType)
        1    0.000    0.000    0.000    0.000 os.py:746(encodekey)
        3    0.000    0.000    0.000    0.000 pathlib.py:966(joinpath)
        1    0.000    0.000    0.000    0.000 _mp.py:1988(Report)
        1    0.000    0.000    0.000    0.000 _vrps.py:43(VehicleRoutingProblemOutputDataType)
        1    0.000    0.000    0.000    0.000 _cfs.py:17(ClosestFacilityInputDataType)
        1    0.000    0.000    0.000    0.000 charts.py:221(_bar)
        2    0.000    0.000    0.000    0.000 random.py:117(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:12(VS_FIXEDFILEINFO)
        1    0.000    0.000    0.000    0.000 geometries.py:38(Multipoint)
        1    0.000    0.000    0.000    0.000 pool.py:276(_get_sentinels)
        1    0.000    0.000    0.026    0.026 pool.py:302(_repopulate_pool)
        1    0.000    0.000    0.000    0.000 connection.py:437(Listener)
        1    0.000    0.000    0.000    0.000 _ndsc.py:31(NetworkAttributeUsageType)
        1    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        1    0.000    0.000    0.000    0.000 mixins.py:359(RasterClassifiedExclusionMixin)
        1    0.000    0.000    0.000    0.000 _mp.py:2149(ReportSection)
        1    0.000    0.000    0.000    0.000 _mp.py:411(Bookmark)
        1    0.000    0.000    0.000    0.000 pool.py:742(ApplyResult)
        1    0.000    0.000    0.000    0.000 pool.py:157(__init__)
        1    0.000    0.000    0.000    0.000 _las.py:41(DecayFunctionType)
        1    0.000    0.000    0.000    0.000 charts.py:955(QQPlot)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 pathlib.py:237(_ext_to_normal)
        1    0.000    0.000    0.000    0.000 pathlib.py:996(parents)
        1    0.000    0.000    0.002    0.002 pathlib.py:1118(_opener)
        4    0.000    0.000    0.000    0.000 typing.py:1847(<listcomp>)
        1    0.000    0.000    0.000    0.000 _renderer.py:63(SimpleRenderer)
        1    0.000    0.000    0.000    0.000 arcobjects.py:1967(NetCDFFileProperties)
        1    0.000    0.000    0.000    0.000 _sas.py:35(ServiceAreaOverlapGeometry)
        1    0.000    0.000    0.000    0.000 _sas.py:51(ServiceAreaOutputType)
        1    0.000    0.000    0.000    0.000 _solvers.py:40(TimeUnits)
        1    0.000    0.000    0.000    0.000 _ndsc.py:25(NetworkTimeUsage)
        1    0.000    0.000    0.000    0.000 _ndsc.py:45(NetworkEdgeDirection)
        1    0.000    0.000    0.000    0.000 _las.py:21(LocationAllocationOutputDataType)
        1    0.000    0.000    0.000    0.000 _cfs.py:10(TimeOfDayUsage)
        1    0.000    0.000    0.000    0.000 charts.py:257(_histogram)
        1    0.000    0.000    0.000    0.000 charts.py:277(_dataClock)
        1    0.000    0.000    0.000    0.000 charts.py:287(_calendarHeatChart)
        1    0.000    0.000    0.000    0.000 pathlib.py:784(__eq__)
        1    0.000    0.000    0.000    0.000 typing.py:677(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:145(ArrayMixin)
        1    0.000    0.000    0.000    0.000 _sas.py:28(ServiceAreaPolygonCutoffGeometry)
        1    0.000    0.000    0.000    0.000 _solvers.py:68(RouteShapeType)
        1    0.000    0.000    0.000    0.000 _solvers.py:77(LineShapeType)
        1    0.000    0.000    0.000    0.000 _solvers.py:84(Importance)
        1    0.000    0.000    0.000    0.000 _odcms.py:21(OriginDestinationCostMatrixOutputDataType)
        1    0.000    0.000    0.000    0.000 Utils.py:67(ParameterErrors)
       12    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:643(__getitem__)
        1    0.000    0.000    0.000    0.000 util.py:73(find_spec)
        3    0.000    0.000    0.000    0.000 typing_extensions.py:114(_should_collect_from_parameters)
        1    0.000    0.000    0.000    0.000 mixins.py:513(ImageFileExportMixin)
        1    0.000    0.000    0.000    0.000 _sas.py:20(ServiceAreaOutputDataType)
        1    0.000    0.000    0.000    0.000 _sas.py:43(ServiceAreaPolygonDetail)
        1    0.000    0.000    0.000    0.000 _solvers.py:60(DirectionsStyle)
        1    0.000    0.000    0.000    0.000 _s.py:74(NameClass)
        1    0.000    0.000    0.000    0.000 charts.py:268(_boxPlot)
        1    0.000    0.000    0.000    0.000 _wmx.py:813(Configuration)
